Potravina;Bílkoviny;Uhlohydráty;Tuky;Energie
;(g/100g);(g/100g);(g/100g);(kcal/100g)
;;;;
ananas;0,49;12,7;0,19;52,9
anglická slanina;10,54;0,08;40,01;402,5
angrešt;1;9,8;0,4;42
arašídy;16,9;23,6;44,2;600,9
artyčoky;2,4;26;0,1;40
avokádo;1,9;5,24;23,5;226,4
bábovka třená;5,5;49,7;16;362,4
bageta;8,97;60,3;2,9;309
banán;1,03;23,43;0,48;92
banán - sušený nebo prášek;3,89;88,28;1,81;346
banány v čokoládě;2;80,4;11,6;409,1
biokys;5,4;7,5;3,5;78
biskupský chlebíček;5,96;46,93;23,64;424
bonboniera - kaštany;5,5;47,2;40,5;570,6
bonboniéra - směs (průměr);5,3;54,4;30,3;508,4
bonboniera - višně v čokoládě;4,2;54,2;30,5;428,2
bonboniera Ferrero Roche;7;49;41;590,7
bonboniera Rafaello;10,3;36;46,3;598,1
bonboniera Tatiana;6,1;53,5;36,1;529,7
bonboniera Toffo originál;0,4;86,8;7,1;374,4
bonbóny - arašídy v cukru;11,2;59,6;19,8;439,2
bonbóny - Bari mandle;1,7;87,6;6,3;378
bonbóny - drops;0;80;0;331,3
bonbóny Bon Pari;0;93,4;0;355,3
bonbóny Festival ovocné;0;95,2;0;339,7
bonbóny Halls;0;93;0;378
bonbóny Hašlerky;0;96,2;0;346,9
bonbóny Italská směs;4,4;68,6;16;420,6
bonbóny Ledovky;1,5;85,6;8,6;393,5
bonbóny Lékorky;1,8;91,6;2,9;369,6
bonbóny Lentilky;3,6;75,9;14,7;446,2
bonbóny Lipo;0;94;0;370,8
bonbóny Medvídci;7,4;70;0;352,9
bonbóny Mentolky;0;96,6;0;343,3
bonbóny Milánská směs;7,3;65,6;19,1;435,4
bonbóny Pralinky rumové;1,9;74,3;8,8;370,6
bonbóny Sisinky;0,6;84,5;6,4;376,8
borůvky;0,79;11,46;0,63;42,4
bramborová kaše;2,53;19,64;2,6;101,3
bramborová moučka;6,6;79;0,6;59,8
bramborový škrob;0,44;83,35;0,11;317,3
brambory pečené;1,2;13,15;0,06;56,7
brambory syrové se slupkou;2,06;17,98;0,1;79
brambory vařené bez slupky;1,33;15,61;0,08;67,08
brambory vařené ve slupce;1,46;15,7;0,08;67,9
brambory (leden až březen);2,5;17,2;0,2;78,2
brambory (říjen až prosinec);2,4;18,6;0,3;83,2
brambory (k jaru);2;12,2;0,2;55
brambory nové;1,9;18,7;0,2;82,1
brokolice;3;5,7;0,4;29
broskev;0,7;11,1;0,09;43
brukev;2,1;6,2;0,2;33
brusinky;1,3;12,4;1,4;61
buchty s mákem;8,8;54,4;16,4;406
buchty s povidly;7;67,2;12,5;415
buchty s tvarohem;11,3;52,9;12,3;372
bujón v kostce (průměr);20;12;15;287,1
býčí žlázy (koule);17,2;0;2,2;88,6
candát;9,15;0,17;0,41;42
cappucino - prášek;3,5;83;9;433
cejn;17,64;0,1;4,16;108,4
celer - nať;0,98;9,1;0,18;42,7
celer bulvový;1,27;7,34;0,25;44,3
cibule;1,16;8,63;0,16;38
cibule - smažená;1,13;6,06;32;310,8
cikánská omáčka - Hamé;0,6;19;0;76,8
cikánská pečeně;21,18;0,1;24,6;292
citron;0,62;9,21;0,45;30,4
citrónová šťáva;0,6;21;0,6;78,2
coca-cola;0;10,5;0;39
corn flakes - kukuřičné;7,15;83,65;0,6;363
cuketa;1,8;3,4;0,4;21
cuketa vařená;2;4;0,4;24
cukr;0;99,5;0;383,3
cukr hroznový - Glukopur;0;96,1;1,4;383,5
cukr třtinový;0;98,97;0;390
cukr vanilkový;0;97,5;0;
černý kořen (Bonduelle);4,2;17,5;0,3;88
červená řepa syrová;1,6;9,6;0,1;41,9
červená řepa ve sladkokyselém nálevu;1;6,7;0,6;35,2
česnek;6,36;33,07;0,5;149
čočka jedlá;25,4;55,75;1,13;346
čočka vařená;7,8;17,17;0,4;90
čokao Vitana;16,3;70,8;5,2;395
čokoláda hořká;4,38;58,56;32,32;542
čokoláda Kofila;4,6;55,8;28,7;471
čokoláda Margot s rozinkami;6,9;73,1;13;406,7
čokoláda Milena;4,5;55,6;33,9;544,3
čokoláda mléčná DIA;9,49;45,44;40,54;522,5
čokoláda mléčná jogurtová;6,4;55,1;31,7;543,8
čokoláda mléčná oříšková;7,33;47,4;37,7;560
čokoláda mléčná s burskými oříšky;10,2;49,7;33;526,3
čokoláda mléčná s lískovými oříšky;7,2;51,5;35,6;543,8
čokoláda mléčná s mandlemi;6,8;52;35,8;539,9
čokoláda Studentská pečeť hořká;6,8;55,5;28;486,6
čokoláda Studentská pečeť mléčná;6,9;55,4;27,7;487,3
dalamánek;7,52;56;1,08;268
dalamánek tmavý;6,4;57,4;0,9;268,4
datle;1,23;45,21;0,3;171,1
datle sušené;1,99;73,28;0,48;320
debrecínská pečeně;20,91;0,1;21,05;273,41
destiláty 38% - průměr;0;0;0;210,3
destiláty 40% - průměr;0;0;0;274,9
divočák - kýta;17,45;0,19;4,7;112,5
dort ovocný;5;42;25,6;442,6
dort s máslovou náplní - průměr;5,9;40;25;382,8
dort Sachr;7,8;48,2;19,5;389,7
dresing Helmans0,3;0,3;7;53;560
droždí;10,6;13;0,4;102,2
droždí pivovarské sušené;45,93;34,03;2,45;346,97
drůbeží játrový nářez;12,29;2,71;29,5;325,7
drůbeží krokety;6,98;19,89;7,71;179
drůbeží roláda;19,49;1,75;8,66;166
dýně - semínka;18,1;13,2;34;452,2
džem borůvkový;0,25;51,1;0,28;199
džem broskvový;0,3;65,9;0,1;251
džem brusinkový;0,3;66,3;0,2;252
džem jahodový;0,53;57,43;0,3;222
džem meruňkový;0,4;65,7;0,1;247
džem švestkový;0,3;66,4;0,1;251
džem třešňový;0,55;55,35;0,25;211
džem višňový;0,45;66,5;0,1;251
džus broskvový;0,22;10,4;0,04;43
džus grapefruitový;0,04;8,9;0,01;33
džus jablečný;0,08;9,6;0,08;39
džus mandarinkový;0,5;10,1;0,2;43
džus meruňkový;0,31;10,4;0,04;43
džus pomerančový;0,65;11;0,19;50
fazole v tomatě - konzerva;5;14;0;74,6
fazole vařené;7,8;21,4;0,5;95
fazolky čerstvé;2,03;6,32;0,26;34,4
fazolky ve slaném nálevu sterilované;1,29;4,11;0,17;14,5
feferony;0,8;3,7;0,1;17,9
feferony nakládané;0,8;6,7;3;56
fíky;1,35;18,13;0,41;68,2
fíky sušené;3,74;67,9;1,28;268
filé smažené;17,3;9,1;13;226,8
filé z tresky;17,69;0,1;0,43;75,9
fruktózový sirup;0;81,7;0;335
garnát;18,6;0;1,4;87,1
gin (45%);0;0;0;249,3
granátové jablko;1,3;11,8;0,2;52,1
grapefruit;0,37;6,86;0,18;22,5
guláš vepřový;3,19;5,6;13,96;161,4
halibut atlantický;18,06;0,1;5,75;119,7
halibut uzený;16,2;0,1;13,5;187
hlíva ústřičná;2,66;4,63;0,83;40,7
horalky;10,1;55;30;533
hořčice;4,48;13,94;6,58;126,6
Hořické trubičky;8,4;73,8;10,5;416,7
Hořické trubičky DIA;8,8;23;52;602,9
houby čerstvé - průměr;2,6;3,8;0,4;26,1
houby sušené - průměr;23,4;41,4;2,7;292,6
houska obyčejná;8,4;60,1;1;286,4
hrách čerstvý;6,36;12,93;0,44;74,8
hrách loupaný (suchý);22,9;62,1;1,4;353,1
hrách vařený;6,7;10,6;0,34;78,9
hrachová moučka;25,7;57,2;1,8;329,2
hrášek ve slaném nálevu sterilovaný;4,24;9,3;0,3;51
hrozinky;2,65;71,32;0,64;279
hroznové víno;0,67;16,93;0,43;72,1
hrušky;0,39;15,11;0,4;59
hřib čerstvý;5,39;4,2;0,4;35,9
hřib sušený;37;38,4;3;322
humr;15,9;0;1,9;95,4
husa domácí pečená, grilovaná (pouze maso);28,97;0;12,67;238
husa domácí syrová (pouze maso);22,75;0;7,13;161
chipsy;5,5;47;39;574,2
chléb arabský;6,1;45,9;0,8;217,7
chléb bramborový;7,86;51,49;10,9;251
chléb celozrnný pšeničný;8,55;46,93;2,02;248
chléb celozrnný pšeničný + žitný;7,55;48,3;1,2;241
chléb celozrnný pšeničný graham;9,08;55,9;2,69;283
chléb celozrnný žitný;7,33;48,7;1,1;238,9
chléb klíčkový VITBE;9,65;47,5;3,15;262
chléb KNAECKEBROT;12,8;65,08;2,65;370
chléb konzumní;8,01;50,16;1,27;249
chléb kukuřičný;5,8;45,7;1,7;226
chléb pšeničný (bílý);8,26;50,77;1,63;238,3
chléb Racio pšeničný;12,73;66,36;1,82;315,3
chléb Racio pšenišný s kmínem;12,73;66,36;1,82;306,7
chléb Racio rýžový;8,18;70,91;1,82;330,6
chléb Racio rýžový se sójou;10;65,45;3,64;345,7
chléb samožitný;7,3;50,6;1,1;246,6
chléb slunečnicový;8,3;46,6;4,6;239,2
chléb toustový světlý;7,8;54,8;3,2;283
chléb toustový tmavý;8,4;53,3;3,6;282,8
chléb výběrový;7,52;51,91;1,09;252,7
chléb výražkový;4,7;56,3;0,8;256,8
chřest;2,28;4,53;0,2;23
chřest sterilizovaný;1,5;2,4;0,1;15,1
jablka sušená (křížaly);1,4;69,8;1,9;272,5
jablko;0,4;12,95;0,41;50,2
jablko čerstvé bez slupky a jader;0,15;14,84;0,31;57
jáhly - loupané proso;10,63;71,15;3,9;360,7
jahody zahradní;0,87;8,73;0,63;31,35
játra hovězí;19,19;4,53;3,96;129,8
játra husí;21,23;0,5;11,95;225,2
játra kachní syrová (domácí kachna);18,74;3,53;4,64;136
játra krůtí syrová;20,02;4,13;3,97;137
játra krůtí vařená;23,97;3,43;5,96;169
játra kuřecí syrová;17,97;3,42;3,86;125
játra kuřecí vařená;24,36;0,88;5,45;157
játra telecí;19,04;3,83;4,67;134,4
játra tresčí v oleji;4,2;1,3;64,44;613
játra vepřová;20,68;1,49;4,79;131,2
játra vepřová dušená;16,16;7,65;11,08;193,2
játrová paštika;19,11;1,1;25,65;311,8
játrová paštika lahůdková;15,17;1,2;28,66;393
játrovka;17,24;1,35;38,92;424,7
játrový nářez drůbeží;12,29;2,71;29,5;325,7
játrový sýr;13,86;1,25;31,25;359
jazyk hovězí;16,05;0,1;13,74;187,3
jazyk hovězí uzený;19,1;0,1;23,9;291
ječné kroupy;9,85;73,25;1,83;359,5
jelítka domácí žemlová;19,68;14,1;31,04;415,5
jeseter ruský;11,1;0,06;7,37;120,3
jeseter v rajčatové omáčce;14,31;3,12;11,7;175,3
jeseter ve vlastní šťávě;15,96;0,6;10,89;166
